ZIP_CODE,COUNTY,Y,STORE_TYPE,CITY,Ï»¿X,LATITUDE,ADDITONAL_ADDRESS,INCENTIVE_PROGRAM,GRANTEE_NAME,STORE_NAME,STATE,OBJECTID,STORE_STREET_ADDRESS,RECORD_ID,ZIP4,LONGITUDE
75220,DALLAS,3876774.57878529,Pharmacy,DALLAS,-10781938.7816531,32.860291,,,,Walgreens 3879,TX,16360.0,3732 W NORTHWEST HWY,376935.0,4953,-96.855804
75246,DALLAS,3868795.77386943,Convenience Store,DALLAS,-10772244.9690753,32.800064,,,,Tonys Neighborhood Food Store,TX,16705.0,820 N FITZHUGH AVE,474793.0,1003,-96.768723
75060,DALLAS,3870502.97149779,Super Store,IRVING,-10790755.3966434,32.812954,,,,Fiesta Mart 53,TX,17087.0,975 E IRVING BLVD,330068.0,3151,-96.935005
75052,DALLAS,3850173.85137263,Discount Retail,GRAND PRAIRIE,-10800944.4696357,32.65934,Ste 200,,,DOLLAR GENERAL 1604,TX,17168.0,1690 W POLO RD,403906.0,1818,-97.026535
75061,DALLAS,3871256.78665926,Super Store,IRVING,-10792186.5200171,32.818645,,,,SAVERS COST PLUS # 525,TX,17183.0,504 N O CONNOR RD,404012.0,8421,-96.947861
75088,DALLAS,3883061.60006603,Pharmacy,ROWLETT,-10750130.0163954,32.907719,,,,WALGREENS 07737,TX,17400.0,3435 LAKEVIEW PKWY,503300.0,3368,-96.570061
75181,DALLAS,3861330.8502882,Super Store,MESQUITE,-10748191.8327412,32.743679,,,,KROGER 893,TX,17465.0,1919 FAITHON LUCAS,503883.0,    ,-96.55265
75088,DALLAS,3884096.54779145,Discount Retail,ROWLETT,-10744576.3983192,32.915524,,,,DOLLAR GENERAL  8785,TX,17481.0,8400 LAKEVIEW PKWY,504011.0,9302,-96.520172
75149,DALLAS,3863423.75572182,Discount Retail,MESQUITE,-10751640.065288,32.759491,Ste 112,,,DOLLAR GENERAL 3163,TX,18064.0,625 PIONEER RD,476463.0,5286,-96.583626
75248,DALLAS,3892020.33700924,Super Store,DALLAS,-10772255.099149,32.975258,,,,Target Store 1775,TX,18114.0,16371 COIT RD,475130.0,    ,-96.768814
75104,DALLAS,3840718.11829609,Farmers and Markets,CEDAR HILL,-10793161.4561174,32.587799,,,,Cedar Hill Farmers Market ,TX,18252.0,300 HOUSTON ST,1594446.0,2678,-96.956619
75051,DALLAS,3856897.42598975,Convenience Store,GRAND PRAIRIE,-10798493.4370875,32.710175,,,,Flowers Bakery Outlet 550,TX,18303.0,180 W PIONEER PKWY,477875.0,    ,-97.004517
75215,DALLAS,3863367.23233385,Convenience Store,DALLAS,-10770855.4791913,32.759064,,,,Mr K Convenience Store,TX,18397.0,4302 MALCOLM X BLVD,1598815.0,4307,-96.756241
75210,DALLAS,3865504.45511862,Convenience Store,DALLAS,-10770215.0581607,32.775208,,,,Fair Park Grocery,TX,18920.0,2203 LAGOW ST,477437.0,1122,-96.750488
75052,DALLAS,3851590.33125854,Pharmacy,GRAND PRAIRIE,-10798507.0180653,32.670052,,,,WALGREENS 03886,TX,19112.0,4202 S CARRIER PKWY,482508.0,3213,-97.004639
75209,DALLAS,3874675.721412,Supermarket,DALLAS,-10778120.4117994,32.844452,,,,TOM THUMB 2990,TX,19130.0,7117 INWOOD RD,540797.0,4898,-96.821503
75206,DALLAS,3873643.06048965,Super Store,DALLAS,-10772417.2916471,32.836658,,,,KROGER 518,TX,19370.0,5665 E MOCKINGBIRD LN,481365.0,5380,-96.770271
75150,DALLAS,3870591.84791408,Super Store,MESQUITE,-10757347.3042615,32.813625,,,,KROGER 450,TX,19843.0,3600 GUS THOMASSON RD,480897.0,6200,-96.634895
75050,DALLAS,3861366.18781631,Supermarket,GRAND PRAIRIE,-10800014.5066096,32.743946,,,,Albertsons 4231,TX,19932.0,215 N CARRIER PKWY,540698.0,5425,-97.018181
75050,DALLAS,3861899.83707082,Supermarket,GRAND PRAIRIE,-10796089.8266422,32.747978,,,,La Michoacana Meat Market 10,TX,20175.0,1630 E MAIN ST,388521.0,6032,-96.982925
75235,DALLAS,3873269.58125736,Convenience Store,DALLAS,-10779879.2597539,32.833839,,,,QuikTrip 936,TX,20742.0,3230 W MOCKINGBIRD LN,429089.0,5904,-96.837303
75041,DALLAS,3877110.13387888,Supermarket,GARLAND,-10758149.0272342,32.862823,,,,TOM THUMB 2561,TX,20839.0,925 NORTHWEST HWY,428155.0,5827,-96.642097
75116,DALLAS,3850349.84425752,Super Store,DUNCANVILLE,-10787887.3612826,32.660671,,,,KROGER  527,TX,20872.0,200 W CAMP WISDOM RD,428179.0,3329,-96.909241
75217,DALLAS,3860179.85768858,Super Store,DALLAS,-10762549.2640662,32.734982,,,,Foodland Markets #3,TX,20938.0,1314 S BUCKNER BLVD,432879.0,1742,-96.681625
75211,DALLAS,3861898.38114962,Pharmacy,DALLAS,-10782129.0266629,32.747967,,,,CVS/ PHARMACY 7456,TX,21038.0,2427 W JEFFERSON BLVD,629475.0,2625,-96.857513
75212,DALLAS,3865883.24892612,Grocery Store,DALLAS,-10787779.4926961,32.778069,,,,La Potosina Carniceria,TX,21336.0,5302 SINGLETON BLVD,400454.0,3243,-96.908272
75243,DALLAS,3881134.62595225,Pharmacy,DALLAS,-10768937.7783234,32.893185,,,,Walgreens 05162,TX,21448.0,8310 ABRAMS RD,628259.0,7604,-96.739014
75043,DALLAS,3874399.19682561,Super Store,GARLAND,-10753211.228581,32.842365,,,,Walmart SUPERCENTER 3224,TX,21461.0,555 W I 30,403290.0,5702,-96.59774
75216,DALLAS,3854848.53572495,Convenience Store,DALLAS,-10772794.4420819,32.694687,,,,Gold Star Food Mart,TX,21783.0,2837 E LEDBETTER DR,1656344.0,7515,-96.773659
75254,DALLAS,3888998.7061247,Supermarket,DALLAS,-10776308.7984062,32.952484,,,,TOM THUMB  3650,TX,21955.0,14999 PRESTON RD,406601.0,9116,-96.805229
75146,DALLAS,3841182.79146802,Super Store,LANCASTER,-10778171.2848067,32.591316,,,,Walmart Supercenter 471,TX,22084.0,150 N INTERSTATE 35 E,507656.0,1844,-96.82196
75137,DALLAS,3847942.10279497,Convenience Store,DUNCANVILLE,-10785916.1157397,32.64246,,,,QuikTrip 925,TX,22184.0,925 S COCKRELL HILL RD,567235.0,2623,-96.891533
75061,DALLAS,3872628.37461484,Super Store,IRVING,-10795221.8685725,32.828999,,,,KROGER 429,TX,22292.0,2201 W GRAUWYLER RD,566515.0,4345,-96.975128
