STORE_STREET_ADDRESS,CITY,FOOD_COMPOSITE_KEY
1501 N INTERSTATE 35 E,DESOTO,1501 N INTERSTATE 35 E DESOTO
5920 HIGHWAY 78,SACHSE,5920 HIGHWAY 78 SACHSE
2432 N FITZHUGH,DALLAS,2432 N FITZHUGH DALLAS
610 E MALLOY BRIDGE RD,SEAGOVILLE,610 E MALLOY BRIDGE RD SEAGOVILLE
4100 STATE HWY 212,CARROLLTON,4100 STATE HWY 212 CARROLLTON
4430 DFW TPKE,DALLAS,4430 DFW TPKE DALLAS
202 W PIONEER PKWY,GRAND PRAIRIE,202 W PIONEER PKWY GRAND PRAIRIE
5370 W LOVERS LN,DALLAS,5370 W LOVERS LN DALLAS
313 N DENTON TAP RD,COPPELL,313 N DENTON TAP RD COPPELL
362 E FM 1382,CEDAR HILL,362 E FM 1382 CEDAR HILL
1305 W BELT LINE RD,DESOTO,1305 W BELT LINE RD DESOTO
7930 BELT LINE RD,DALLAS,7930 BELT LINE RD DALLAS
2114 W KINGSLEY RD,GARLAND,2114 W KINGSLEY RD GARLAND
1015 N TOWN EAST BLVD,MESQUITE,1015 N TOWN E BLVD MESQUITE
1520 PIONEER RD,MESQUITE,1520 PIONEER RD MESQUITE
1145 INTERSTATE 30,MESQUITE,1145 INTERSTATE 30 MESQUITE
5435 BROADWAY BLVD,GARLAND,5435 BROADWAY BLVD GARLAND
2134 N JOSEY LN,CARROLLTON,2134 N JOSEY LN CARROLLTON
1815 NORTHWEST HWY,GARLAND,1815 NORTHWEST HWY GARLAND
2802 LAVON DR,GARLAND,2802 LAVON DR GARLAND
1050 S BELT LINE RD,DALLAS,1050 S BELT LINE RD DALLAS
401 E FM 1382,CEDAR HILL,401 E FM 1382 CEDAR HILL
6850 N SHILOH ROAD,GARLAND,6850 N SHILOH RD GARLAND
3001 N BELT LINE RD,IRVING,3001 N BELT LINE RD IRVING
3455 N BELT LINE RD,IRVING,3455 N BELT LINE RD IRVING
5434 HIGHWAY 78,SACHSE,5434 HIGHWAY 78 SACHSE
1951 MILITARY PKWY,MESQUITE,1951 MILITARY PKWY MESQUITE
435 E FM 1382,CEDAR HILL,435 E FM 1382 CEDAR HILL
1803 N GALLOWAY AVE,MESQUITE,1803 N GALLOWAY AVE MESQUITE
3506 N GALLOWAY AVE,MESQUITE,3506 N GALLOWAY AVE MESQUITE
500 E PIONEER PKWY,GRAND PRAIRIE,500 E PIONEER PKWY GRAND PRAIRIE
2712 W IRVING BLVD,IRVING,2712 W IRVING BLVD IRVING
3400 E TRINITY MILLS RD,CARROLLTON,3400 E TRINITY MILLS RD CARROLLTON
3312 LAKEVIEW PKWY,ROWLETT,3312 LAKEVIEW PKWY ROWLETT
13260 JOSEY LN,DALLAS,13260 JOSEY LN DALLAS
2223 SINGLETON BLVD,DALLAS,2223 SINGLETON BLVD DALLAS
742 WYNNEWOOD VILLAGE,DALLAS,742 WYNNEWOOD VILLAGE DALLAS
6474 E NORTHWEST HWY,DALLAS,6474 E NORTHWEST HWY DALLAS
250 W HIGHWAY 67,DUNCANVILLE,250 W HIGHWAY 67 DUNCANVILLE
2230 MARSH LN,CARROLLTON,2230 MARSH LN CARROLLTON
4402 W JEFFERSON BLVD,DALLAS,4402 W JEFFERSON BLVD DALLAS
531 E MALLOY BRIDGE RD,SEAGOVILLE,531 E MALLOY BRIDGE RD SEAGOVILLE
3828 US HIGHWAY 80 E,MESQUITE,3828 US HIGHWAY 80 E MESQUITE
1325 GROSS RD,MESQUITE,1325 GROSS RD MESQUITE
9750 WALNUT HILL LN,DALLAS,9750 WALNUT HILL LN DALLAS
8600 LAKEVIEW PKWY,ROWLETT,8600 LAKEVIEW PKWY ROWLETT
406 E BELT LINE RD,WILMER,406 E BELT LINE RD WILMER
11424 AUDELIA RD,DALLAS,11424 AUDELIA RD DALLAS
8190 PARK LN,DALLAS,8190 PARK LN DALLAS
2307 I-20,GRAND PRAIRIE,2307 I-20 GRAND PRAIRIE
3768 S CARRIER PKWY,GRAND PRAIRIE,3768 S CARRIER PKWY GRAND PRAIRIE
230 W PIONEER PKWY,GRAND PRAIRIE,230 W PIONEER PKWY GRAND PRAIRIE
10606 GARLAND RD,DALLAS,10606 GARLAND RD DALLAS
1518 BUCKINGHAM RD,GARLAND,1518 BUCKINGHAM RD GARLAND
2440 W ILLINOIS AVE,DALLAS,2440 W ILLINOIS AVE DALLAS
3635 GUS THOMASSON RD,MESQUITE,3635 GUS THOMASSON RD MESQUITE
2711 MOTLEY DR,MESQUITE,2711 MOTLEY DR MESQUITE
1601 W NORTHWEST HWY,GARLAND,1601 W NORTHWEST HWY GARLAND
1511 S BELT LINE RD,GRAND PRAIRIE,1511 S BELT LINE RD GRAND PRAIRIE
2500 S INTERSTATE 45 SERVICE RD,HUTCHINS,2500 S INTERSTATE 45 SERVICE RD HUTCHINS
7401 LAKEVIEW PKWY,ROWLETT,7401 LAKEVIEW PKWY ROWLETT
6421 BROADWAY BLVD,GARLAND,6421 BROADWAY BLVD GARLAND
1355 HIGHWAY 66,GARLAND,1355 HIGHWAY 66 GARLAND
2602 LAVON DR,GARLAND,2602 LAVON DR GARLAND
2434 W BUCKINGHAM RD,GARLAND,2434 W BUCKINGHAM RD GARLAND
1426 BELT LINE RD,GARLAND,1426 BELT LINE RD GARLAND
2300 ROWLETT RD,ROWLETT,2300 ROWLETT RD ROWLETT
3011 N SHILOH RD,GARLAND,3011 N SHILOH RD GARLAND
4214 FOREST LN,GARLAND,4214 FOREST LN GARLAND
2926 BELT LINE RD,IRVING,2926 BELT LINE RD IRVING
424 E PIONEER PKWY,GRAND PRAIRIE,424 E PIONEER PKWY GRAND PRAIRIE
3500 LAKEVIEW PKWY,ROWLETT,3500 LAKEVIEW PKWY ROWLETT
554 W INTERSTATE 20,GRAND PRAIRIE,554 W INTERSTATE 20 GRAND PRAIRIE
4241 W CAMP WISDOM RD,DALLAS,4241 W CAMP WISDOM RD DALLAS
5216 S STATE HIGHWAY 360,GRAND PRAIRIE,5216 S STATE HIGHWAY 360 GRAND PRAIRIE
1372 BELT LINE RD,GARLAND,1372 BELT LINE RD GARLAND
220 W CENTERVILLE RD,GARLAND,220 W CENTERVILLE RD GARLAND
5825 BROADWAY BLVD,GARLAND,5825 BROADWAY BLVD GARLAND
1900 LAKEVIEW PKWY,ROWLETT,1900 LAKEVIEW PKWY ROWLETT
5702 LAVON DR,GARLAND,5702 LAVON DR GARLAND
4203 S CARRIER PKWY,GRAND PRAIRIE,4203 S CARRIER PKWY GRAND PRAIRIE
1225 N BLUEGROVE RD,LANCASTER,1225 N BLUEGROVE RD LANCASTER
3430 LAKEVIEW PKWY,ROWLETT,3430 LAKEVIEW PKWY ROWLETT
1411 MAIN STREET,DALLAS,1411 MAIN ST DALLAS
6832 SNIDER PLZ,DALLAS,6832 SNIDER PLZ DALLAS
6709 PRESTON RD,DALLAS,6709 PRESTON RD DALLAS
4301 N BELT LINE RD,IRVING,4301 N BELT LINE RD IRVING
2717 E BELT LINE RD,CARROLLTON,2717 E BELT LINE RD CARROLLTON
2018 NORTHWEST HWY,GARLAND,2018 NORTHWEST HWY GARLAND
3555 MURPHY RD,RICHARDSON,3555 MURPHY RD RICHARDSON
11921 ELAM RD,BALCH SPRINGS,11921 ELAM RD BALCH SPRINGS
3936 POLK ST,DALLAS,3936 POLK ST DALLAS
2509 FIREWHEEL PKWY,GARLAND,2509 FIREWHEEL PKWY GARLAND
1000 E SANDY LAKE RD,COPPELL,1000 E SANDY LAKE RD COPPELL
290 N DENTON TAP RD,COPPELL,290 N DENTON TAP RD COPPELL
410 W ROCHELLE RD,IRVING,410 W ROCHELLE RD IRVING
5328 LEMMON AVE,DALLAS,5328 LEMMON AVE DALLAS
10560 WALNUT ST,DALLAS,10560 WALNUT ST DALLAS
