ADDITONAL_ADDRESS,STATE,COUNTY,LONGITUDE,STORE_NAME,STORE_TYPE,ZIP4,Ï»¿X,GRANTEE_NAME,RECORD_ID,INCENTIVE_PROGRAM,Y,OBJECTID,STORE_STREET_ADDRESS,LATITUDE,ZIP_CODE,CITY,CUISINE_TYPE,CATEGORY,SUBCATEGORY,SUB_SUBCATEGORY
Ste 412,TX,DALLAS,-96.890175,DOLLAR GENERAL 2939,Discount Retail,7664,-10785764.9438712,,355326.0,,3889005.33922027,9262.0,1103 S JOSEY LN,32.952534,75006,CARROLLTON,Uncategorized,,,
,TX,DALLAS,-96.739517,SARAS MEDITERRANEAN FOOD,Super Store,4028,-10768993.7720272,,290356.0,,3887621.35877912,9429.0,750 S SHERMAN ST,32.942101,75081,RICHARDSON,Middle Eastern,Asia,Western Asia,Multiple Western Asian
,TX,DALLAS,-96.908379,COX FARMS MARKET,Supermarket,2320,-10787791.4038816,,349235.0,,3847763.5017876,9885.0,1026 S MAIN ST,32.641109,75137,DUNCANVILLE,General Retail/Food/Other,,,
,TX,DALLAS,-96.922798,TOM THUMB  3563,Supermarket,4517,-10789396.5196193,,351871.0,,3848721.71257771,10687.0,633 W WHEATLAND RD,32.648357,75116,DUNCANVILLE,General Retail/Food/Other,,,
,TX,DALLAS,-96.749229,TOM THUMB  2526,Supermarket,    ,-10770074.9069218,,437147.0,,3890313.06097585,10823.0,39 ARAPAHO VILLAGE,32.962391,75080,RICHARDSON,General Retail/Food/Other,,,
,TX,DALLAS,-96.681343,DOLLAR GENERAL 1220,Discount Retail,5466,-10762517.8719698,,452230.0,,3890267.95096871,10892.0,5112 N JUPITER RD,32.962051,75044,GARLAND,Uncategorized,,,
,TX,DALLAS,-96.57177,QuikTrip 1922,Convenience Store,    ,-10750320.2614051,,1594593.0,,3855766.44433536,10999.0,5065 LAWSON RD,32.701626,75181,MESQUITE,General Retail/Food/Other,,,
,TX,DALLAS,-96.802399,TOM THUMB  3597,Supermarket,2711,-10775993.7642473,,317988.0,,3883482.3307799,11049.0,11920 PRESTON RD,32.910892,75230,DALLAS,General Retail/Food/Other,,,
,TX,DALLAS,-97.035652,Walmart STORE 896,Super Store,3926,-10801959.3694333,,342686.0,,3852307.6278072,11302.0,2225 W INTERSTATE 20,32.675476,75052,GRAND PRAIRIE,Uncategorized,,,
,TX,DALLAS,-96.992004,TOM THUMB  1781,Supermarket,2138,-10797100.4962992,,339842.0,,3891398.27432187,11480.0,106 N DENTON TAP RD,32.97057,75019,COPPELL,General Retail/Food/Other,,,
,TX,DALLAS,-96.76696,TOM THUMB  2642,Supermarket,4324,-10772048.7128131,,342875.0,,3875559.26568238,11564.0,5809 E LOVERS LN,32.85112,75206,DALLAS,General Retail/Food/Other,,,
,TX,DALLAS,-96.583542,TOM THUMB  4606,Supermarket,    ,-10751630.7144508,,256065.0,,3861630.23000173,11783.0,1509 PIONEER RD,32.745941,75149,MESQUITE,General Retail/Food/Other,,,
,TX,DALLAS,-96.936859,ALBERTSONS 4133,Supermarket,6027,-10790961.7829794,,339383.0,,3841271.57954567,12693.0,427 E FM 1382,32.591988,75104,CEDAR HILL,General Retail/Food/Other,,,
,TX,DALLAS,-96.641983,E Z SHOP #7,Convenience Store,4911,-10758136.3368122,,396087.0,,3876822.02240745,12892.0,4616 NORTHWEST HWY,32.860649,75043,GARLAND,General Retail/Food/Other,,,
,TX,DALLAS,-96.596413,DOLLAR GENERAL 13077,Discount Retail,    ,-10753063.5076168,,396155.0,,3862162.96469081,12912.0,1300 BELTLINE RD,32.749966,75149,MESQUITE,Uncategorized,,,
,TX,DALLAS,-96.646049,Walgreens 03824,Pharmacy,2231,-10758588.9618618,,397337.0,,3871869.30531317,12952.0,4435 GUS THOMASSON RD,32.823269,75150,MESQUITE,Uncategorized,,,
,TX,DALLAS,-96.646255,Albertsons 4129,Supermarket,3425,-10758611.8936769,,265405.0,,3869141.29916275,13202.0,2828 MOTLEY DR,32.802673,75150,MESQUITE,General Retail/Food/Other,,,
,TX,DALLAS,-96.656494,Pak Bros Llc,Convenience Store,4918,-10759751.6939431,,1605306.0,,3863804.46831889,13474.0,9602 SCYENE RD,32.762367,75227,DALLAS,General Retail/Food/Other,,,
,TX,DALLAS,-96.681915,Raceway 6980,Convenience Store,5608,-10762581.5467186,,1578256.0,,3869309.62887974,13479.0,3516 N BUCKNER BLVD,32.803944,75228,DALLAS,General Retail/Food/Other,,,
,TX,DALLAS,-96.89151,Walgreens 04459,Pharmacy,9668,-10785913.5553914,,456546.0,,3852487.752255,13504.0,8120 S COCKRELL HILL RD,32.676838,75236,DALLAS,Uncategorized,,,
,TX,DALLAS,-96.735741,CVS/ PHARMACY 6965,Pharmacy,4901,-10768573.42963,,454785.0,,3879265.09768628,13934.0,7203 SKILLMAN ST,32.879082,75231,DALLAS,Uncategorized,,,
,TX,DALLAS,-96.642502,Walmart 1055,Super Store,    ,-10758194.1116279,,457504.0,,3890314.52042015,13957.0,5302 N GARLAND AVE,32.962402,75040,GARLAND,Uncategorized,,,
,TX,DALLAS,-96.857635,WALGREENS 6197,Pharmacy,4015,-10782142.6076408,,320484.0,,3854407.00199351,14061.0,2401 W LEDBETTER DR,32.691349,75233,DALLAS,Uncategorized,,,
,TX,DALLAS,-96.737846,DOLLAR GENERAL 4203,Discount Retail,3399,-10768807.7571581,,320911.0,,3892249.63806954,14099.0,521 W CAMPBELL RD,32.976986,75080,RICHARDSON,Uncategorized,,,
,TX,DALLAS,-96.857101,DOLLAR GENERAL 9628,Discount Retail,5745,-10782083.1630327,,321045.0,,3840358.7588835,14136.0,327 S HAMPTON RD,32.585079,75115,DESOTO,Uncategorized,,,
,TX,DALLAS,-96.993652,WALGREENS 7354,Pharmacy,4016,-10797283.95082,,371349.0,,3872517.09437632,14357.0,1330 N BELT LINE RD,32.828159,75061,IRVING,Uncategorized,,,
,TX,DALLAS,-96.803238,TOM THUMB  3522,Supermarket,    ,-10776087.1613001,,372399.0,,3881369.68023785,14361.0,522 PRESTON ROYAL,32.894958,75230,DALLAS,General Retail/Food/Other,,,
Ste 56,TX,DALLAS,-96.647247,DOLLAR GENERAL 1801,Discount Retail,1753,-10758722.3226117,,371425.0,,3872233.06958669,14491.0,4550 GUS THOMASSON RD,32.826015,75150,MESQUITE,Uncategorized,,,
,TX,DALLAS,-96.604256,TOM THUMB  2578,Supermarket,2862,-10753936.586383,,457677.0,,3887134.55698238,14498.0,2535 FIREWHEEL PKWY,32.938431,75040,GARLAND,General Retail/Food/Other,,,
,TX,DALLAS,-96.960091,KROGER 495,Super Store,2730,-10793547.9573895,,360677.0,,3870018.8650971,15023.0,515 S MACARTHUR BLVD,32.809299,75060,IRVING,Uncategorized,,,
,TX,DALLAS,-96.84816,SUPER MERCADO MEXICO # 1,Grocery Store,5841,-10781087.8554655,,441834.0,,3860986.48037134,15109.0,501 S ROSEMONT AVE,32.741077,75208,DALLAS,Mexican,Americas,Latin America - Central America,Mexico
Ste 200,TX,DALLAS,-96.687164,DOLLAR GENERAL 9369,Discount Retail,2518,-10763165.8627257,,442683.0,,3875454.18562843,15363.0,11255 GARLAND RD,32.850327,75218,DALLAS,Uncategorized,,,
,TX,DALLAS,-96.684319,Fiesta Mart 57,Super Store,6908,-10762849.1587744,,361068.0,,3863703.99394601,15504.0,2951 S BUCKNER BLVD,32.761608,75227,DALLAS,Mexican,Americas,Latin America - Central America,Mexico
,TX,DALLAS,-96.784325,STOP AND SAVE FOOD STORE,Convenience Store,4750,-10773981.7757707,,413662.0,,3857126.04323834,15594.0,3525 SUNNYVALE ST,32.711903,75216,DALLAS,General Retail/Food/Other,,,
,TX,DALLAS,-96.801857,Whole Foods Market 10227,Super Store,6112,-10775933.4290833,,437977.0,,3883169.26750519,15617.0,11700 PRESTON RD,32.908531,75230,DALLAS,Uncategorized,,,
,TX,DALLAS,-96.863052,WALGREENS  4746,Pharmacy,2420,-10782745.6253224,,361314.0,,3889083.2120428,15792.0,3400 BELT LINE RD,32.953121,75234,DALLAS,Uncategorized,,,
,TX,DALLAS,-96.598312,KROGER 403,Super Store,5700,-10753274.9033298,,437418.0,,3873888.69678613,15972.0,532 W INTERSTATE 30,32.838512,75043,GARLAND,Uncategorized,,,
,TX,DALLAS,-96.832298,KROGER 213,Super Store,1831,-10779322.1057025,,417613.0,,3858631.61431284,16313.0,752 WYNNEWOOD VILLAGE SHP CTR,32.723282,75224,DALLAS,Uncategorized,,,
,TX,DALLAS,-96.855804,Walgreens 3879,Pharmacy,4953,-10781938.7816531,,376935.0,,3876774.57878529,16360.0,3732 W NORTHWEST HWY,32.860291,75220,DALLAS,Uncategorized,,,
,TX,DALLAS,-96.768723,Tonys Neighborhood Food Store,Convenience Store,1003,-10772244.9690753,,474793.0,,3868795.77386943,16705.0,820 N FITZHUGH AVE,32.800064,75246,DALLAS,General Retail/Food/Other,,,
,TX,DALLAS,-96.935005,Fiesta Mart 53,Super Store,3151,-10790755.3966434,,330068.0,,3870502.97149779,17087.0,975 E IRVING BLVD,32.812954,75060,IRVING,Mexican,Americas,Latin America - Central America,Mexico
Ste 200,TX,DALLAS,-97.026535,DOLLAR GENERAL 1604,Discount Retail,1818,-10800944.4696357,,403906.0,,3850173.85137263,17168.0,1690 W POLO RD,32.65934,75052,GRAND PRAIRIE,Uncategorized,,,
,TX,DALLAS,-96.947861,SAVERS COST PLUS # 525,Super Store,8421,-10792186.5200171,,404012.0,,3871256.78665926,17183.0,504 N O CONNOR RD,32.818645,75061,IRVING,Uncategorized,,,
,TX,DALLAS,-96.570061,WALGREENS 07737,Pharmacy,3368,-10750130.0163954,,503300.0,,3883061.60006603,17400.0,3435 LAKEVIEW PKWY,32.907719,75088,ROWLETT,Uncategorized,,,
,TX,DALLAS,-96.55265,KROGER 893,Super Store,    ,-10748191.8327412,,503883.0,,3861330.8502882,17465.0,1919 FAITHON LUCAS,32.743679,75181,MESQUITE,Uncategorized,,,
,TX,DALLAS,-96.520172,DOLLAR GENERAL  8785,Discount Retail,9302,-10744576.3983192,,504011.0,,3884096.54779145,17481.0,8400 LAKEVIEW PKWY,32.915524,75088,ROWLETT,Uncategorized,,,
Ste 112,TX,DALLAS,-96.583626,DOLLAR GENERAL 3163,Discount Retail,5286,-10751640.065288,,476463.0,,3863423.75572182,18064.0,625 PIONEER RD,32.759491,75149,MESQUITE,Uncategorized,,,
,TX,DALLAS,-96.768814,Target Store 1775,Super Store,    ,-10772255.099149,,475130.0,,3892020.33700924,18114.0,16371 COIT RD,32.975258,75248,DALLAS,Uncategorized,,,
,TX,DALLAS,-96.956619,Cedar Hill Farmers Market ,Farmers and Markets,2678,-10793161.4561174,,1594446.0,,3840718.11829609,18252.0,300 HOUSTON ST,32.587799,75104,CEDAR HILL,General Retail/Food/Other,,,
,TX,DALLAS,-97.004517,Flowers Bakery Outlet 550,Convenience Store,    ,-10798493.4370875,,477875.0,,3856897.42598975,18303.0,180 W PIONEER PKWY,32.710175,75051,GRAND PRAIRIE,General Retail/Food/Other,,,
,TX,DALLAS,-96.756241,Mr K Convenience Store,Convenience Store,4307,-10770855.4791913,,1598815.0,,3863367.23233385,18397.0,4302 MALCOLM X BLVD,32.759064,75215,DALLAS,General Retail/Food/Other,,,
,TX,DALLAS,-96.750488,Fair Park Grocery,Convenience Store,1122,-10770215.0581607,,477437.0,,3865504.45511862,18920.0,2203 LAGOW ST,32.775208,75210,DALLAS,General Retail/Food/Other,,,
